COOKIMAGE_ID,COOK_ID,IMAGE_ID
1,1,7
2,2,8
3,3,9
4,4,10
5,5,11
6,6,12
7,7,13
8,8,14
9,9,15
10,10,16
11,11,17
12,12,18
13,13,19
14,14,20
15,15,21
16,16,22
17,17,23
18,18,27
19,19,28
20,20,29
21,21,30
22,22,31
23,23,32
24,24,33
25,25,34
26,26,35
27,27,36
28,28,37
29,29,38
30,30,39
31,31,40
32,32,41
33,33,42
34,34,43
35,35,44
36,36,45
37,37,46
38,38,47
39,39,48
40,40,49
41,41,50
42,42,51
43,43,52
44,44,53
45,45,54
46,46,55
47,47,56
48,48,57
49,49,58
50,50,59
51,51,60
52,52,61
53,53,62
54,54,63
55,55,64
56,56,65
57,57,66
58,58,67
59,59,68
60,60,69
61,61,70
62,62,71
63,63,72
64,64,73
65,65,74
66,66,75
